Wahr	True
True	Wahr
Ein Diphthong besteht aus zwei Vokalen, die gemeinsam gesprochen werden	A diphthong consists of two vowels spoken together
A diphthong consists of two vowels spoken together	Ein Diphthong besteht aus zwei Vokalen, die gemeinsam gesprochen werden
Was ist kein Diphthong? --> ie	What is not a diphthong? --> "ie"
What is not a diphthong? --> "ie"	Was ist kein Diphthong? --> ie
Welches Wort hat keinen Diphthong? Beziehung. Richtig! Hier wird ein langes "i" gesprochen	Which word does not have a diphthong? Relationship. Right! A long "i" is spoken here
Which word does not have a diphthong? Relationship. Right! A long "i" is spoken here	Welches Wort hat keinen Diphthong? Beziehung. Richtig! Hier wird ein langes "i" gesprochen
Welcher Diphthong ist mit äu lautlich gleich? --> eu	Which diphthong is phonetically the same as "äu"? --> "eu"
Which diphthong is phonetically the same as "äu"? --> "eu"	Welcher Diphthong ist mit äu lautlich gleich? --> eu
Welches Wört enthält einen Diphthong? --> Häuser	Which word contains a diphthong? --> houses
Which word contains a diphthong? --> houses	Welches Wört enthält einen Diphthong? --> Häuser
Wie werden ü, ä und ö auch genannt? --> Umlaute	What are ü, ä and ö also called? --> umlauts
What are ü, ä and ö also called? --> umlauts	Wie werden ü, ä und ö auch genannt? --> Umlaute
Markiere alle Diphthonge (Zwielaute) der deutschen Sprache. --> eu äu ei au	Mark all diphthongs (Zwielaute) of the German language. --> eu äu ei au
Mark all diphthongs (Zwielaute) of the German language. --> eu äu ei au	Markiere alle Diphthonge (Zwielaute) der deutschen Sprache. --> eu äu ei au
Dieser Sommer war zu heiß!	This summer was too hot!
This summer was too hot!	Dieser Sommer war zu heiß!
Meine Maiskolben sind alle verbrannt	My corn cobs are all burned
My corn cobs are all burned	Meine Maiskolben sind alle verbrannt
Auch viele Bäume haben nicht überlebt	Many trees did not survive either
Many trees did not survive either	Auch viele Bäume haben nicht überlebt
Nur meine Blumen sind noch da	Only my flowers are still there
Only my flowers are still there	Nur meine Blumen sind noch da
Aber das ist nur eine Frage der Zeit	But that's only a matter of time
But that's only a matter of time	Aber das ist nur eine Frage der Zeit
Eine wundervolle Ehe	A wonderful marriage
A wonderful marriage	Eine wundervolle Ehe
Ich habe meinen geliebten Mann vor drei Jahren geheiratet	I married my beloved husband three years ago
I married my beloved husband three years ago	Ich habe meinen geliebten Mann vor drei Jahren geheiratet
Danach feierten wir eine große Party in dem schönen Gebäude im Park	After that we had a big party in the beautiful building in the park
After that we had a big party in the beautiful building in the park	Danach feierten wir eine große Party in dem schönen Gebäude im Park
Das wichtigste in einer Ehe ist Vertrauen	The most important thing in a marriage is trust
The most important thing in a marriage is trust	Das wichtigste in einer Ehe ist Vertrauen
Zum Hochzeitstag schenkt er mir immer Blumen und ich muss vor Freude weinen	He always gives me flowers on our wedding anniversary and I cry with joy
He always gives me flowers on our wedding anniversary and I cry with joy	Zum Hochzeitstag schenkt er mir immer Blumen und ich muss vor Freude weinen
Ich habe zwei Häuser auf dem Land	I have two houses in the country
I have two houses in the country	Ich habe zwei Häuser auf dem Land
Heute habe ich Lust auf Pommes Frites!	Today I want french fries!
Today I want french fries!	Heute habe ich Lust auf Pommes Frites!
Eigentlich sind Mäuse doch ganz niedlich!	Mice are actually quite cute!
Mice are actually quite cute!	Eigentlich sind Mäuse doch ganz niedlich!
Im Herbst verlieren die Bäume ihre Blätter	In autumn the trees lose their leaves
In autumn the trees lose their leaves	Im Herbst verlieren die Bäume ihre Blätter
Es regnet sehr viel, deshalb bleibe ich im Haus	It's raining a lot, so I'm staying indoors
It's raining a lot, so I'm staying indoors	Es regnet sehr viel, deshalb bleibe ich im Haus
Ich lade dann meine Freunde zu mir ein	I then invite my friends to my place
I then invite my friends to my place	Ich lade dann meine Freunde zu mir ein
Heute geht die Sonne sehr früh unter	The sun sets very early today
The sun sets very early today	Heute geht die Sonne sehr früh unter
Das macht mich sehr traurig	That makes me very sad
That makes me very sad	Das macht mich sehr traurig
Es wird Zeit, dass der Frühling kommt	It's time for spring to come
It's time for spring to come	Es wird Zeit, dass der Frühling kommt
Der Preis ist sehr niedrig	The price is very low
The price is very low	Der Preis ist sehr niedrig
Wir bleiben für immer Freunde	We'll stay friends forever
We'll stay friends forever	Wir bleiben für immer Freunde
Ich führe dich zum Essen aus	I'm taking you out to dinner
I'm taking you out to dinner	Ich führe dich zum Essen aus
Kein Problem! Gern geschehen!	No problem! You are welcome!
No problem! You are welcome!	Kein Problem! Gern geschehen!
So viele Pralinen! Ich kann mich gar nicht entscheiden	So many chocolates! I can't even decide
So many chocolates! I can't even decide	So viele Pralinen! Ich kann mich gar nicht entscheiden
Auf unserer Hozhzeit waren viele Gäste	There were many guests at our wedding
There were many guests at our wedding	Auf unserer Hozhzeit waren viele Gäste
Wie fühlst du dich?	How do you feel?
How do you feel?	Wie fühlst du dich?
Welche Form ist höflich? --> Ich hätte gern einen Kaffee	Which form is polite? --> I would like a coffee
Which form is polite? --> I would like a coffee	Welche Form ist höflich? --> Ich hätte gern einen Kaffee
Du schenkst mir Blumen?	you give me flowers
you give me flowers	Du schenkst mir Blumen?
Heute haben wir unser erstes Date	Today we have our first date
Today we have our first date	Heute haben wir unser erstes Date
Ich hätte gern ein Glas Wein	I would like a glass of wine
I would like a glass of wine	Ich hätte gern ein Glas Wein
Die Zeit heilt alle Wunden	Time heals all wounds
Time heals all wounds	Die Zeit heilt alle Wunden
Heute möchte ich dich ganz romantisch zum Essen ausführen	Today I would like to take you out to dinner in a very romantic way
Today I would like to take you out to dinner in a very romantic way	Heute möchte ich dich ganz romantisch zum Essen ausführen
Hat er dich zum Essen ausgeführt?	Did he take you out to dinner?
Did he take you out to dinner?	Hat er dich zum Essen ausgeführt?
Wie wird der Diphthong "eu" ausgesprochen? --> wie "oi"	How is the diphthong "eu" pronounced? --> like "oi"
How is the diphthong "eu" pronounced? --> like "oi"	Wie wird der Diphthong "eu" ausgesprochen? --> wie "oi"
Welches Wort spricht man nicht mit /ai/? -->	What word do you not say with /ai/? -->
What word do you not say with /ai/? -->	Welches Wort spricht man nicht mit /ai/? -->
Wie war euer Date?	How was your date?
How was your date?	Wie war euer Date?
Was für Blumen hast du bekommen? - Rosen!	What flowers did you get? - Roses!
What flowers did you get? - Roses!	Was für Blumen hast du bekommen? - Rosen!
Ich kann eine einfache Unterhaltung führen	I can hold a simple conversation
I can hold a simple conversation	Ich kann eine einfache Unterhaltung führen
Ich kann über persönliche Beziehungen sprechen	I can talk about personal relationships
I can talk about personal relationships	Ich kann über persönliche Beziehungen sprechen
Auf der Hochzeit gab es viele Frauen, die ein gelbes Kleid trugen. Mein Kleid war grün	At the wedding there were many women who wore a yellow dress. My dress was green
At the wedding there were many women who wore a yellow dress. My dress was green	Auf der Hochzeit gab es viele Frauen, die ein gelbes Kleid trugen. Mein Kleid war grün
Ein Diphthong oder Doppellaut besteht aus zwei Vokalen, die gemeinsam gesprochen werden. "ei" spricht man "ai", "eu" und "äu" spricht man "oi"	A diphthong or double sound consists of two vowels spoken together. "ei" is pronounced "ai", "eu" and "äu" are pronounced "oi"
A diphthong or double sound consists of two vowels spoken together. "ei" is pronounced "ai", "eu" and "äu" are pronounced "oi"	Ein Diphthong oder Doppellaut besteht aus zwei Vokalen, die gemeinsam gesprochen werden. "ei" spricht man "ai", "eu" und "äu" spricht man "oi"
Achte auf die richtige Aussprache der Diphthonge	Pay attention to the correct pronunciation of the diphthongs
Pay attention to the correct pronunciation of the diphthongs	Achte auf die richtige Aussprache der Diphthonge
Versuche, den Zungenbrecher fehlerfrei auszusprechen	Try to pronounce the tongue twister correctly
Try to pronounce the tongue twister correctly	Versuche, den Zungenbrecher fehlerfrei auszusprechen
War das einfach oder schwierig für dich?	Was that easy or difficult for you?
Was that easy or difficult for you?	War das einfach oder schwierig für dich?
Ergänze die Lücken	Fill in the gaps
Fill in the gaps	Ergänze die Lücken
Sprich die Redewendungen richtig aus. Was bedeuten sie?	Pronounce the phrases correctly. What do they mean?
Pronounce the phrases correctly. What do they mean?	Sprich die Redewendungen richtig aus. Was bedeuten sie?
Aus den Augen, aus dem Sinn	Out of sight, out of mind
Out of sight, out of mind	Aus den Augen, aus dem Sinn
Einmal ist keinmal	Once is never
Once is never	Einmal ist keinmal
Ohne Fleiß kein Preis	No pain no gain
No pain no gain	Ohne Fleiß kein Preis
Die Zeit heilt alle Wunden	Time heals all wounds
Time heals all wounds	Die Zeit heilt alle Wunden
Wähle mindestens fünf Wörter aus und erzähle eine Geschichte	Choose at least five words and tell a story
Choose at least five words and tell a story	Wähle mindestens fünf Wörter aus und erzähle eine Geschichte
Beschreibe ein schönes Date, das du hattest (oder eines, das du gerne hättest)	Describe a nice date you had (or would like to have)
Describe a nice date you had (or would like to have)	Beschreibe ein schönes Date, das du hattest (oder eines, das du gerne hättest)
Mach dir Notizen. Danach folgen Fragen zum Text	take notes This is followed by questions about the text
take notes This is followed by questions about the text	Mach dir Notizen. Danach folgen Fragen zum Text
Sonja steht am Wochenende früher auf als Franz	Sonja gets up earlier than Franz at the weekend
Sonja gets up earlier than Franz at the weekend	Sonja steht am Wochenende früher auf als Franz
Sonja und Franz haben gemeinsame Hobbys	Sonja and Franz have common hobbies
Sonja and Franz have common hobbies	Sonja und Franz haben gemeinsame Hobbys
Am Wochenende unternehmen Sonja und Franz etwas mit ihren Freunden	At the weekend, Sonja and Franz do something with their friends
At the weekend, Sonja and Franz do something with their friends	Am Wochenende unternehmen Sonja und Franz etwas mit ihren Freunden
Für Franz ist das Einkaufengehen mit Sonja manchmal stressig	Going shopping with Sonja is sometimes stressful for Franz
Going shopping with Sonja is sometimes stressful for Franz	Für Franz ist das Einkaufengehen mit Sonja manchmal stressig
Sonja ist unordentlicher als Franz	Sonja is messier than Franz
Sonja is messier than Franz	Sonja ist unordentlicher als Franz
Kleinere Streitereien sind für Sonja normal	Minor quarrels are normal for Sonja
Minor quarrels are normal for Sonja	Kleinere Streitereien sind für Sonja normal
Mach dir Notizen. Besprecht danach eure Antworten	take notes Then discuss your answers
take notes Then discuss your answers	Mach dir Notizen. Besprecht danach eure Antworten
Warum stehen Sonja und Franz am Wochenende spät auf?	Why do Sonja and Franz get up late at the weekend?
Why do Sonja and Franz get up late at the weekend?	Warum stehen Sonja und Franz am Wochenende spät auf?
Welche gemeinsamen Interessen haben Sonja und Franz?	What common interests do Sonja and Franz have?
What common interests do Sonja and Franz have?	Welche gemeinsamen Interessen haben Sonja und Franz?
Wie gehen die beiden mit Streit um?	How do the two deal with arguments?
How do the two deal with arguments?	Wie gehen die beiden mit Streit um?
Wähle ein Szenario und spiele es mit einem Partner oder einer Partnerin	Choose a scenario and play it with a partner
Choose a scenario and play it with a partner	Wähle ein Szenario und spiele es mit einem Partner oder einer Partnerin
Du bist verheiratet. Dein Partner hat Geburtstag. Du planst eine Überraschung. Was planst du? Wie reagiert dein Partner?	You're married. It's your partner's birthday. You are planning a surprise. What are you planing? How does your partner react?
You're married. It's your partner's birthday. You are planning a surprise. What are you planing? How does your partner react?	Du bist verheiratet. Dein Partner hat Geburtstag. Du planst eine Überraschung. Was planst du? Wie reagiert dein Partner?
Du triffst Sonja oder Franz. Er oder sie stellt dir Fragen zu deinem Beziehungsalltag	You meet Sonja or Franz. He or she asks you questions about your everyday relationship
You meet Sonja or Franz. He or she asks you questions about your everyday relationship	Du triffst Sonja oder Franz. Er oder sie stellt dir Fragen zu deinem Beziehungsalltag
Was macht ihr gemeinsam?	What are you doing together?
What are you doing together?	Was macht ihr gemeinsam?
Wie sehen eure Wochentage und Wochenenden aus?	What are your weekdays and weekends like?
What are your weekdays and weekends like?	Wie sehen eure Wochentage und Wochenenden aus?
Wie geht ihr mit Konflikten um?	How do you deal with conflicts?
How do you deal with conflicts?	Wie geht ihr mit Konflikten um?
Über die Lernziele nachdenken	Think about the learning goals
Think about the learning goals	Über die Lernziele nachdenken
Was kann ich besser machen?	What can I do better?
What can I do better?	Was kann ich besser machen?
Die Lehrkraft gibt allen persönliches Feedback	The teacher gives everyone personal feedback
The teacher gives everyone personal feedback	Die Lehrkraft gibt allen persönliches Feedback
Der Streusalzstreuer zahlt keine Streusalzstreuersteuer, keine Streusalzstreuersteuer zahlt der Streusalzstreuer	The road salt spreader does not pay any road salt spreader tax, the road salt spreader does not pay any road salt spreader tax
The road salt spreader does not pay any road salt spreader tax, the road salt spreader does not pay any road salt spreader tax	Der Streusalzstreuer zahlt keine Streusalzstreuersteuer, keine Streusalzstreuersteuer zahlt der Streusalzstreuer
Bierbrauer Bauer braut braunes Bier, braunes Bier braut Bierbrauer Bauer	Bierbrauer Bauer brews brown beer, Bierbrauer Bauer brews brown beer
Bierbrauer Bauer brews brown beer, Bierbrauer Bauer brews brown beer	Bierbrauer Bauer braut braunes Bier, braunes Bier braut Bierbrauer Bauer
Grießbrei bleibt Grießbrei und Kriegsbeil bleibt Kriegsbeil. Kriegsbeil bleibt Kriegsbeil und Grießbrei bleibt Grießbrei	Semolina is still semolina and a hatchet is a hatchet. A hatchet remains a hatchet and semolina remains semolina
Semolina is still semolina and a hatchet is a hatchet. A hatchet remains a hatchet and semolina remains semolina	Grießbrei bleibt Grießbrei und Kriegsbeil bleibt Kriegsbeil. Kriegsbeil bleibt Kriegsbeil und Grießbrei bleibt Grießbrei
Welches Wort gehört zu welchem Thema? Welche Wörter passen zu beiden Themen?	Which word goes with which topic? Which words go with both topics?
Which word goes with which topic? Which words go with both topics?	Welches Wort gehört zu welchem Thema? Welche Wörter passen zu beiden Themen?
Bildbeschreibung	image description
image description	Bildbeschreibung
Wo wurde das Bild aufgenommen?	Where was the picture taken?
Where was the picture taken?	Wo wurde das Bild aufgenommen?
Wer ist zu sehen?	Who can you see?
Who can you see?	Wer ist zu sehen?
Wie ist die Beziehung der Menschen zueinander?	How are people related to each other?
How are people related to each other?	Wie ist die Beziehung der Menschen zueinander?
Was machen sie als nächstes?	What are you going to do next?
What are you going to do next?	Was machen sie als nächstes?
